record_id,doi,series,year,crossref_container,crossref_issn,series_is_J041,issn_is_glss,not_gerontological_issn,container_is_glss,year_in_glss_era,crossref_years,title
98638,10.1300/j041v13n04_09,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Retirement intentions of same-sex couples
98639,10.1300/j041v13n04_04,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Being transgender and older: A first person account
98640,10.1300/j041v13n04_02,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008","Is Having the Luck of Growing Old in the Gay, Lesbian, Bisexual, Transgender Community Good or Bad Luck?"
98641,10.1300/j041v13n04_10,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Preliminary study of caregiving and post-caregiving experiences of older gay men and lesbians
98642,10.1300/j041v13n04_06,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Gay men: Aging well!
98643,10.1300/j041v14n01_05,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008","Body image, working out, and therapy"
98644,10.1300/j041v14n01_02,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008","Gay men’s domestic violence: Dynamics, help-seeking behaviors, and correlates"
98645,10.1300/j041v14n01_07,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Internet resources
98646,10.1300/j041v13n04_12,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Responding to the mental health and grief concerns of homeless HIV-Infected gay men
98647,10.1300/j041v14n01_06,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Violence in gay and lesbian relationships
98648,10.1300/j041v14n03_03,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,"A qualitative analysis of cultural and social vulnerabilities to hiv infection among gay, lesbian, and bisexual asian youth"
98649,10.1300/j041v14n03_04,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,The san francisco gay men’s chorus: A historical perspective on the role of a chorus as a social service
98650,10.1300/j041v13n04_03,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Aging in the United States today
98651,10.1300/j041v14n03_01,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Lesbian aging: Review of a growing literature
98652,10.1300/j041v14n03_02,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Lesbian and gay elders: Connecting care providers through a telephone support group
98653,10.1300/j041v13n04_11,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Vision and older adults
98654,10.1300/j041v14n01_03,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Utilization of mental health services
98655,10.1300/j041v14n03_07,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,"Health care for all lesbian, gay, bisexual, and transgender populations"
98656,10.1300/j041v14n03_06,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Homosexuality and risk for psychiatric disorders
98657,10.1300/j041v14n03_05,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Terrorist attacks in america: Impact on queer clients and clinicians
98658,10.1300/j041v13n03_06,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Developmental attachment and gay and lesbian adoptions
98659,10.1300/j041v13n01_09,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Who gets to drink from the fountain of freedom?: Homophobia in Communities of color
98660,10.1300/j041v13n01_04,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,"Human rights, hate crimes, and hebrew-christian scripture"
98661,10.1300/j041v13n03_04,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Deaf and hearing-impaired lesbians and gay males
98662,10.1300/j041v13n01_05,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,"Language, violence, and queer people: Social and cultural change strategies"
98663,10.1300/j041v13n01_06,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Sticks and stones can break your bones: Verbal harassment and physical violence in the lives of gay and lesbian youths in child welfare settings
98664,10.1300/j041v13n01_03,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Human rights in the 20th century
98665,10.1300/j041v13n01_07,J041,2001,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2001,Domestic violence: The ultimate betrayal of human rights
