author_id,name_as_published,full_name,family,given_full,evidence_dois,n_papers_linked,n_papers_checked,n_papers_agreeing
77629,Mickelsson T.B.,"Mickelsson, Tony Blomqvist",Mickelsson,Tony Blomqvist,10.1080/2156857x.2022.2155218,1,1,1
77630,Heino E.,"Heino, Eveliina",Heino,Eveliina,10.1080/2156857x.2022.2046321|10.1080/2156857x.2022.2130407|10.1080/2156857x.2023.2219282,3,3,3
77631,Kara H.,"Kara, Hanna",Kara,Hanna,10.1080/2156857x.2022.2130407|10.1080/2156857x.2023.2240825,2,2,2
77632,Tarkiainen L.,"Tarkiainen, Laura",Tarkiainen,Laura,10.1080/2156857x.2020.1749457|10.1080/2156857x.2022.2130407,2,2,2
77633,Tapola-Haapala M.,"Tapola-Haapala, Maria",Tapola-Haapala,Maria,10.1080/2156857x.2022.2130407,1,1,1
77634,Vamstad J.,"Vamstad, Johan",Vamstad,Johan,10.1080/2156857x.2022.2132529,1,1,1
77635,Mattsson E.,"Mattsson, Elisabet",Mattsson,Elisabet,10.1080/2156857x.2022.2132529,1,1,1
77636,Klarare A.,"Klarare, Anna",Klarare,Anna,10.1080/2156857x.2022.2132529,1,1,1
77637,Porter S.,"Porter, Susann",Porter,Susann,10.1080/2156857x.2022.2130405,1,1,1
77638,Kuorikoski T.,"Kuorikoski, Tuija",Kuorikoski,Tuija,10.1080/2156857x.2022.2130406,1,1,1
77639,Alstam K.,"Alstam, Kristina",Alstam,Kristina,10.1080/2156857x.2022.2111338,1,1,1
77640,Jönsson A.,"Jönsson, Anders",Jönsson,Anders,10.1080/2156857x.2022.2104348,1,1,1
77641,Scaramuzzino R.,"Scaramuzzino, Roberto",Scaramuzzino,Roberto,10.1080/2156857x.2011.562030|10.1080/2156857x.2015.1099052|10.1080/2156857x.2022.2104348,3,3,3
77642,Husabø M.,"Husabø, Mari",Husabø,Mari,10.1080/2156857x.2022.2092541,1,1,1
77643,Mæhle M.,"Mæhle, Magne",Mæhle,Magne,10.1080/2156857x.2022.2092541,1,1,1
77644,Råheim M.,"Råheim, Målfrid",Råheim,Målfrid,10.1080/2156857x.2022.2092541,1,1,1
77645,Øien A.M.,"Øien, Aud Marie",Øien,Aud Marie,10.1080/2156857x.2022.2092541,1,1,1
