paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title
72861,10.31265/jcsw.v19i2.663,2024,skjold,149558,Suzan M. Skjold,157309;77712,Suzan M. Skjold | Skjold S.M.,2;2;2,1,4,Iterations of work inclusion beyond standard service: Personalised welfare services in the era of activation and innovat
72861,10.31265/jcsw.v19i2.663,2024,sundsb,149560,Astrid O. Sundsbø,157311;77714,Astrid O. Sundsbø | Sundsbø A.O.,4;4;4,1,4,Iterations of work inclusion beyond standard service: Personalised welfare services in the era of activation and innovat
79548,10.15270/51-2-447,2015,boshoff,149814,Pieter Boshoff,157565;76861,Pieter Boshoff | Boshoff P.,3;3;1,1,3,An assessment of the need of police officials for trauma intervention programmes - A qualitative approach
79548,10.15270/51-2-447,2015,botha,149813,Karel Botha,157564;84171,Karel Botha | Botha K.,2;2;3,1,3,An assessment of the need of police officials for trauma intervention programmes - A qualitative approach
79548,10.15270/51-2-447,2015,strydom,149625,Herman Strydom,157376;81876,Herman Strydom | Strydom H.,1;1;2,1,3,An assessment of the need of police officials for trauma intervention programmes - A qualitative approach
87994,10.18060/23690,2020,navarro,148967,Adria Navarro,156718;92171,Adria Navarro | Navarro A.,2;2;2,1,2,Social workers and public libraries: A commentary on an emerging interprofessional collaboration
87994,10.18060/23690,2020,soska,148966,Tracy M. Soska,156717;88984,Tracy M. Soska | Soska T.M.,1;1;1,1,2,Social workers and public libraries: A commentary on an emerging interprofessional collaboration
87995,10.18060/23640,2020,guthrie,149191,Sara K. Guthrie,156942;92172,Sara K. Guthrie | Guthrie S.K.,2;2;2,1,3,Who am i and what do i do? Developing a social work identity through interprofessional education and practice
87995,10.18060/23640,2020,hartnett,149192,Helen P. Hartnett,156943;92173,Helen P. Hartnett | Hartnett H.P.,3;3;3,1,3,Who am i and what do i do? Developing a social work identity through interprofessional education and practice
87995,10.18060/23640,2020,rishel,148939,Carrie W. Rishel,156690;89232,Carrie W. Rishel | Rishel C.,1;1;1,1,3,Who am i and what do i do? Developing a social work identity through interprofessional education and practice
